@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,,
,,,,
@attribute total_fiat numeric,,,,
@attribute total_biat numeric,,,,
@attribute min_fiat numeric,,,,
@attribute min_biat numeric,,,,
@attribute class1 {TOR,NONTOR},,,
,,,,
@data,,,,
17,7,2249885,2064514,NONTOR
30,6,2349340,2315198,NONTOR
20,5,5881392,5932194,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
2413234,2412833,2413234,2412833,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,1066808,-1,1066808,NONTOR
-1,-1,-1,-1,NONTOR
2259214,2260166,2259214,2260166,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
209503,30903,6140615,6148854,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
633,-1,633,-1,NONTOR
13412,-1,13412,-1,NONTOR
56,73,2956848,2956115,NONTOR
55,41,8863447,8913306,NONTOR
48,35,7961403,8011632,NONTOR
457,48,75999,97330,NONTOR
45,106,4611793,4612316,NONTOR
65,41,4656864,4631595,NONTOR
79,47,3817713,3844865,NONTOR
50,20,3365947,3416505,NONTOR
67,43,4795101,4845768,NONTOR
44,36,3437346,3487355,NONTOR
55,68,3168051,3193074,NONTOR
56,15,41658,73780,NONTOR
51,63,5048826,5048922,NONTOR
49,20,3884606,3935672,NONTOR
958,46,77722,119732,NONTOR
21,11,4793438,4758277,NONTOR
50,134,34809,34337,NONTOR
40,15696,65174,27432,NONTOR
29516,-1,29516,-1,NONTOR
66,10014,4704859,4752365,NONTOR
29105,-1,29105,-1,NONTOR
3990,0,4992081,5187968,NONTOR
3870,0,5067789,5077923,NONTOR
10,0,4972607,5108404,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
5883845,8998118,8998649,8998118,NONTOR
-1,1992997,-1,1992997,NONTOR
-1,36709,-1,36709,NONTOR
8,38,3534907,3350584,NONTOR
28,87,9345411,9210919,NONTOR
9,38,6966411,6782520,NONTOR
14,53,7959492,7914351,NONTOR
15,54,6386243,6202301,NONTOR
52,509,14818371,14846422,NONTOR
4943194,4942234,5004632,5006451,NONTOR
46,41,4655295,4630857,NONTOR
48,51,4365048,4416051,NONTOR
47,17,4893161,4943355,NONTOR
774,15226,71721,29071,NONTOR
45,60,3990176,4016246,NONTOR
1,74,12481786,12480574,NONTOR
46,0,3963802,4014476,NONTOR
1,105,1504665,1505074,NONTOR
1,82,3563722,3562084,NONTOR
49,1,7654646,7709561,NONTOR
2,77,7122737,7147681,NONTOR
41,0,6842155,6894220,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
57160,6158,9709954,9709858,NONTOR
59590,59750,2512366,2512317,NONTOR
-1,42080,-1,42080,NONTOR
1075441,1075482,1075441,1075482,NONTOR
387,19899,7009057,7069556,NONTOR
-1,-1,-1,-1,NONTOR
5932,19402,2524672,2523402,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
730,19891,7428723,7487751,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
53427,53140,5290850,5290018,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
53551,52995,2909251,2984812,NONTOR
46,23,6415051,6467318,NONTOR
1763851,1738832,3395182,3394918,NONTOR
95,50,5033861,5033097,NONTOR
41,26,3459046,3434740,NONTOR
52,50,3584972,3593659,NONTOR
38,25,3455636,3508115,NONTOR
86,49,5033368,5007996,NONTOR
4993604,4993318,5012224,5012306,NONTOR
50,41,3478268,3529776,NONTOR
44,20,4684005,4735573,NONTOR
88824,5001258,6860800,6950115,NONTOR
68,55,4834070,4886810,NONTOR
51,31,3998727,4050857,NONTOR
222,64,50948,28583,NONTOR
-1,-1,-1,-1,NONTOR
2610428,2685704,4981519,4981779,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
1079115,1076108,1079115,1076108,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
1046733,1046715,7363224,7442008,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
35,-1,35,-1,NONTOR
-1,-1,-1,-1,NONTOR
15,-1,15,-1,NONTOR
55,-1,55,-1,NONTOR
38,-1,2131,-1,NONTOR
11,-1,336,-1,NONTOR
59,-1,522,-1,NONTOR
3,49,26423,25338,NONTOR
32,33,1499,1558,NONTOR
3,48,1617,1210,NONTOR
39,40,1407,1478,NONTOR
34,50,1597,1759,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
142,791,367,791,NONTOR
89,875,355,875,NONTOR
73,952,676,952,NONTOR
97,1012,479,1012,NONTOR
15,7,8731326,8935103,NONTOR
-1,-1,-1,-1,NONTOR
379,-1,379,-1,NONTOR
44,35,2280,1785,NONTOR
527,-1,527,-1,NONTOR
-1,-1,-1,-1,NONTOR
375,612,5513464,5514544,NONTOR
289,-1,289,-1,NONTOR
786,-1,786,-1,NONTOR
298,-1,298,-1,NONTOR
8,27,142620,141026,NONTOR
269,-1,269,-1,NONTOR
24,-1,24,-1,NONTOR
321,-1,321,-1,NONTOR
144,-1,144,-1,NONTOR
778,-1,778,-1,NONTOR
321,-1,830,-1,NONTOR
212,-1,212,-1,NONTOR
14,-1,173,-1,NONTOR
47,290,1186,1696,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
624,712,1515892,1581470,NONTOR
-1,-1,-1,-1,NONTOR
3,-1,678,-1,NONTOR
1063896,-1,1063896,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
9,17,8730844,8942338,NONTOR
354,30,8096628,8295949,NONTOR
2,461,1970,28101,NONTOR
2,520,16949,117256,NONTOR
627,437,244926,191824,NONTOR
22663,-1,22663,-1,NONTOR
5,-1,1962,-1,NONTOR
2,1166,291633,2082650,NONTOR
3983,2,3895049,910101,NONTOR
5984,2,7513492,656213,NONTOR
1280,5702,9143842,9156190,NONTOR
2,2165,483105,6200333,NONTOR
2,5985,856185,3229651,NONTOR
2,1410,706166,7395080,NONTOR
2,4,419229,2274979,NONTOR
14,2,3205698,582693,NONTOR
1573,2,2105911,492339,NONTOR
1396,2,2488958,494675,NONTOR
56,2,628805,544145,NONTOR
1686,49777,318269,213381,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
222,-1,20913,-1,NONTOR
37,13,499559,550888,NONTOR
37,13,540724,540617,NONTOR
309,-1,829,-1,NONTOR
268,-1,1559,-1,NONTOR
37,13,462771,505522,NONTOR
214,-1,4488,-1,NONTOR
36,13,291397,340597,NONTOR
9,13,415768,466642,NONTOR
31,27,63244,49277,NONTOR
6,13,608532,960230,NONTOR
37,13,616592,663121,NONTOR
38,12,557755,607734,NONTOR
4,12,605607,605516,NONTOR
9038,53559,185653,91426,NONTOR
22,12,728064,728236,NONTOR
31,13,332256,332179,NONTOR
0,12,494074,541011,NONTOR
2879,18907,60395031,2909217,NONTOR
4,12,469508,517724,NONTOR
1272,4943,165095,56307,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
47,1011,519,1011,NONTOR
210,1395,857,1395,NONTOR
61,2450,2001,2450,NONTOR
3,18,1446505,1496520,NONTOR
0,174,5359048,5359289,NONTOR
-1,199701,-1,199701,NONTOR
394,509,10000391,10000468,NONTOR
6185264,241749,6185264,6190331,NONTOR
15,0,2818627,2519135,NONTOR
103,411,6148693,6105357,NONTOR
406499,350525,10000461,10001186,NONTOR
91,61,1000294,1001007,NONTOR
16,0,102299,101131,NONTOR
16,0,128225,125401,NONTOR
50258,249907,4063624,3827265,NONTOR
24,51,1992232,2231831,NONTOR
22,38,1000351,1001065,NONTOR
401617,400781,4641356,4642178,NONTOR
111,372,5458332,5914123,NONTOR
452,1038,8024631,8029033,NONTOR
62,0,107013,88639,NONTOR
60,1,102363,102488,NONTOR
437701,499643,4535600,4597345,NONTOR
2535695,10036889,10023449,10036889,NONTOR
2548760,2498645,10003025,7503441,NONTOR
2652879,2601924,7369391,10006402,NONTOR
59,1,137736,140948,NONTOR
3056984,915505,10048336,6102954,NONTOR
3079110,3036106,6956112,6953204,NONTOR
-1,-1,-1,-1,NONTOR
174,3,4127688,4127959,NONTOR
10006950,3352665,10006950,9996866,NONTOR
3351838,3355235,6656970,10020512,NONTOR
10052568,3202190,10052568,6806563,NONTOR
72,2,4784314,4784039,NONTOR
3368,2,9996736,10000137,NONTOR
178,10005167,10005193,10005167,NONTOR
-1,10047,-1,10047,NONTOR
10008778,1,10008778,10005384,NONTOR
130,2,10011791,10015014,NONTOR
3918,2,10004738,10008708,NONTOR
51695,50105,8381851,8432427,NONTOR
209122,127,6400913,6570398,NONTOR
68,40,7890559,8133608,NONTOR
107,-1,107,-1,NONTOR
121,-1,121,-1,NONTOR
125,-1,125,-1,NONTOR
95,-1,95,-1,NONTOR
42,168,5106960,5083068,NONTOR
29,81,10054340,10030950,NONTOR
42,1242,5322969,5295826,NONTOR
144,44,5005899,5020697,NONTOR
107,32,999285,1065253,NONTOR
1774,62,7190702,7253661,NONTOR
2165,133,1097015,1049082,NONTOR
959,37,901611,854196,NONTOR
1364,49,913671,865723,NONTOR
-1,-1,-1,-1,NONTOR
172,-1,2233,-1,NONTOR
1627,45,933041,885492,NONTOR
138,-1,2489,-1,NONTOR
1157,148,933510,885299,NONTOR
161184,47565,214604,235465,NONTOR
80,-1,80,-1,NONTOR
48,-1,48,-1,NONTOR
109,-1,109,-1,NONTOR
96,-1,96,-1,NONTOR
150,-1,150,-1,NONTOR
77,-1,77,-1,NONTOR
243,-1,243,-1,NONTOR
100,-1,23720,-1,NONTOR
1007,29,448566,400480,NONTOR
810,144,369690,280014,NONTOR
3197,58,352503,305252,NONTOR
159,-1,31935,-1,NONTOR
1145,43,354437,306549,NONTOR
145,-1,25599,-1,NONTOR
24280,-1,17284800,-1,NONTOR
63,12,282694,319802,NONTOR
68,6,282602,320778,NONTOR
-1,-1,-1,-1,NONTOR
2,2,702625,702553,NONTOR
4,1,9921866,9881787,NONTOR
2,1,240762,240739,NONTOR
52,54,38037,36391,NONTOR
5,5,3444710,3521726,NONTOR
5,4,3689830,3726823,NONTOR
-1,-1,-1,-1,NONTOR
197,250,18416946,53107,NONTOR
85,382,18414859,52789,NONTOR
94,310,18414722,52572,NONTOR
78,149,18414649,54295,NONTOR
2,3,6975174,6988742,NONTOR
4,3,3961219,3974236,NONTOR
6,7,6980984,6994078,NONTOR
3,4,156311,30021325,NONTOR
7,36,227658,227642,NONTOR
7,11,4957249,4970337,NONTOR
5,3,37240,23667,NONTOR
22,21,39115,40101,NONTOR
4,6,13823788,13836845,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
6,2,47350,29529,NONTOR
4,3,1291754,1291731,NONTOR
11,10,281096,319338,NONTOR
7869521,-1,7869521,-1,NONTOR
-1,-1,-1,-1,NONTOR
4,85,357018,318305,NONTOR
4,53,352503,314019,NONTOR
5,4,2006849,534937,NONTOR
15,2,360982,398518,NONTOR
4,3,4123313,4161241,NONTOR
3,4,4121916,4161402,NONTOR
7,6,3886521,3923801,NONTOR
6,3,4284428,4321746,NONTOR
7,4,4075019,4114424,NONTOR
-1,-1,-1,-1,NONTOR
-1,-1,-1,-1,NONTOR
4,3,48163,34765,NONTOR
-1,-1,-1,-1,NONTOR
4,3,274827,313493,NONTOR
3,6,3563130,3526208,NONTOR
4,3,3031429,2994584,NONTOR
5,4,4185727,4148345,NONTOR
4,4,166955,166926,NONTOR
-1,14917674,-1,14917674,NONTOR
4,6,3836426,3793033,NONTOR
11,6,128643,128583,NONTOR
5,5,347915,195654,NONTOR
8,4,110346,92632,NONTOR
4,3,576745,446261,NONTOR
18,7,108619,108643,NONTOR
4,4,88966,74173,NONTOR
2,7,2005710,2045589,NONTOR
4,6,1271289,1181608,NONTOR
5,5,628760,664465,NONTOR
82,38859,70152,483259,NONTOR
177,71781,78427,482048,NONTOR
949,57,27599,29698,NONTOR
35,78,26600,34166,NONTOR
404,60,25958,42161,NONTOR
18846,-1,22172,-1,NONTOR
58,9,22365,139508,NONTOR
69,26,23958,158818,NONTOR
48,39,28794,152657,NONTOR
130,29,21953,151949,NONTOR
62,25,22591,183293,NONTOR
77,24,21534,175449,NONTOR
101,30,23049,196162,NONTOR
61,29,24151,182177,NONTOR
46,38,22612,125492,NONTOR
960304,959574,963858,964880,NONTOR
151,2,39120,24797,NONTOR
960581,960025,963737,964289,NONTOR
96,2,44765,45830,NONTOR
187,549,38636,25086,NONTOR
299,838,37484,26245,NONTOR
151,2,39127,34578,NONTOR
