@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,
,,,
@attribute total_fiat numeric,,,
@attribute total_biat numeric,,,
@attribute min_biat numeric,,,
@attribute class1 {TOR,NONTOR},,
,,,
@data,,,
17,7,2064514,NONTOR
30,6,2315198,NONTOR
20,5,5932194,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
2413234,2412833,2412833,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,1066808,1066808,NONTOR
-1,-1,-1,NONTOR
2259214,2260166,2260166,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
209503,30903,6148854,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
633,-1,-1,NONTOR
13412,-1,-1,NONTOR
56,73,2956115,NONTOR
55,41,8913306,NONTOR
48,35,8011632,NONTOR
457,48,97330,NONTOR
45,106,4612316,NONTOR
65,41,4631595,NONTOR
79,47,3844865,NONTOR
50,20,3416505,NONTOR
67,43,4845768,NONTOR
44,36,3487355,NONTOR
55,68,3193074,NONTOR
56,15,73780,NONTOR
51,63,5048922,NONTOR
49,20,3935672,NONTOR
958,46,119732,NONTOR
21,11,4758277,NONTOR
50,134,34337,NONTOR
40,15696,27432,NONTOR
29516,-1,-1,NONTOR
66,10014,4752365,NONTOR
29105,-1,-1,NONTOR
3990,0,5187968,NONTOR
3870,0,5077923,NONTOR
10,0,5108404,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
5883845,8998118,8998118,NONTOR
-1,1992997,1992997,NONTOR
-1,36709,36709,NONTOR
8,38,3350584,NONTOR
28,87,9210919,NONTOR
9,38,6782520,NONTOR
14,53,7914351,NONTOR
15,54,6202301,NONTOR
52,509,14846422,NONTOR
4943194,4942234,5006451,NONTOR
46,41,4630857,NONTOR
48,51,4416051,NONTOR
47,17,4943355,NONTOR
774,15226,29071,NONTOR
45,60,4016246,NONTOR
1,74,12480574,NONTOR
46,0,4014476,NONTOR
1,105,1505074,NONTOR
1,82,3562084,NONTOR
49,1,7709561,NONTOR
2,77,7147681,NONTOR
41,0,6894220,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
57160,6158,9709858,NONTOR
59590,59750,2512317,NONTOR
-1,42080,42080,NONTOR
1075441,1075482,1075482,NONTOR
387,19899,7069556,NONTOR
-1,-1,-1,NONTOR
5932,19402,2523402,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
730,19891,7487751,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
53427,53140,5290018,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
53551,52995,2984812,NONTOR
46,23,6467318,NONTOR
1763851,1738832,3394918,NONTOR
95,50,5033097,NONTOR
41,26,3434740,NONTOR
52,50,3593659,NONTOR
38,25,3508115,NONTOR
86,49,5007996,NONTOR
4993604,4993318,5012306,NONTOR
50,41,3529776,NONTOR
44,20,4735573,NONTOR
88824,5001258,6950115,NONTOR
68,55,4886810,NONTOR
51,31,4050857,NONTOR
222,64,28583,NONTOR
-1,-1,-1,NONTOR
2610428,2685704,4981779,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
1079115,1076108,1076108,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
1046733,1046715,7442008,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
35,-1,-1,NONTOR
-1,-1,-1,NONTOR
15,-1,-1,NONTOR
55,-1,-1,NONTOR
38,-1,-1,NONTOR
11,-1,-1,NONTOR
59,-1,-1,NONTOR
3,49,25338,NONTOR
32,33,1558,NONTOR
3,48,1210,NONTOR
39,40,1478,NONTOR
34,50,1759,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
142,791,791,NONTOR
89,875,875,NONTOR
73,952,952,NONTOR
97,1012,1012,NONTOR
15,7,8935103,NONTOR
-1,-1,-1,NONTOR
379,-1,-1,NONTOR
44,35,1785,NONTOR
527,-1,-1,NONTOR
-1,-1,-1,NONTOR
375,612,5514544,NONTOR
289,-1,-1,NONTOR
786,-1,-1,NONTOR
298,-1,-1,NONTOR
8,27,141026,NONTOR
269,-1,-1,NONTOR
24,-1,-1,NONTOR
321,-1,-1,NONTOR
144,-1,-1,NONTOR
778,-1,-1,NONTOR
321,-1,-1,NONTOR
212,-1,-1,NONTOR
14,-1,-1,NONTOR
47,290,1696,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
624,712,1581470,NONTOR
-1,-1,-1,NONTOR
3,-1,-1,NONTOR
1063896,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
